Game,Average 7-Day Viewers,Hours Watched,Date
GTA V,190781,31924067,2023-08-03
League of Legends,149493,25015190,2023-08-03
Valorant,90608,15161709,2023-08-03
Red Dead Redemption 2,7750,1296871,2023-08-03
PUBG: BATTLEGROUNDS,9403,1571902,2023-08-03
NBA 2K23,5751,962347,2023-08-03
Destiny 2,5482,917356,2023-08-03
Cyberpunk 2077,561,93845,2023-08-03
Roblox,6338,1059461,2023-08-03
Fortnite,56911,9523140,2023-08-03
Among Us,4111,687203,2023-08-03
Rocket League,10775,1803017,2023-08-03
